"Package","Version"
"plotmo","3.7.0"
"plotrix","3.8-14"
"pls","2.9-0"
"plumber","1.3.3"
"plyr","1.8.9"
"PMCMRplus","1.9.12"
"pmultinom","1.0.0"
"png","0.1-9"
"poibin","1.6"
"polspline","1.1.25"
"polyclip","1.10-7"
"polynom","1.4-1"
"posterior","1.7.0"
"ppcor","1.1"
"prabclus","2.3-5"
"pracma","2.4.6"
"praise","1.0.0"
"predict3d","0.1.6"
"prediction","0.3.18"
"prettydoc","0.4.1"
"prettyunits","1.2.0"
"prismatic","1.1.2"
"pROC","1.19.0.1"
"processx","3.9.0"
"prodlim","2026.03.11"
"profmem","0.7.0"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","1.0.0"
"promises","1.5.0"
"prophet","1.1.7"
"proto","1.0.0"
"proxy","0.4-29"
"PRROC","1.4"
"ps","1.9.3"
"pscl","1.5.9"
"pspearman","0.3-1"
"pspline","1.0-21"
"psych","2.6.5"
"Publish","2025.07.24"
"purrr","1.2.2"
"pwr","1.3-0"
"pwrss","1.2.0"
"pyinit","1.1.5"
"qap","0.1-2"
"qgam","2.0.0"
"qgraph","1.10.1"
"qicharts","0.5.10"
"qpdf","1.4.1"
"qtl","1.74"
"quadprog","1.5-8"
"quanteda","4.4"
"quantmod","0.4.29"
"quantreg","6.1"
"quarto","1.5.1"
"QuickJSR","1.10.0"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.rsp","0.46.0"
"R.utils","2.13.0"
"R2HTML","2.3.4"
"R2jags","0.8-9"
"R2WinBUGS","2.1-24"
"R6","2.6.1"
"ragg","1.5.2"
"rainbow","3.8"
"ramcmc","0.1.2"
"randomForest","4.7-1.2"
"randtoolbox","2.0.5"
"ranger","0.18.0"
"rapidjsonr","1.2.1"
"rappdirs","0.3.4"
"rapportools","1.2"
"rARPACK","0.11-0"
"raster","3.6-32"
"ratelimitr","0.4.2"
"rbibutils","2.4.1"
"Rcereal","1.3.2"
"rcmdcheck","1.4.0"
"RcmdrMisc","2.10.2"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.4.2-1"
"RcppCCTZ","0.2.14"
"RcppDate","0.0.6"
"RcppEigen","0.3.4.0.2"
"RcppParallel","6.1.0"
"RcppProgress","0.4.2"
"RcppRoll","0.3.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.19"
"Rdpack","2.6.6"
"reactable","0.4.5"
"reactR","0.6.1"
"readr","2.2.0"
"readstata13","0.11.0"
"readxl","1.5.0"
"rearrr","0.3.5"
"recipes","1.3.3"
"reformulas","0.4.4"
"registry","0.5-1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.2.3"
"report","0.6.4"
"repr","1.1.7"
"reprex","2.1.1"
"reshape","0.8.10"
"reshape2","1.4.5"
"rethinking","2.42"
"reticulate","1.46.0"
"rex","1.2.2"
"Rfast","2.1.5.2"
"rgee","1.1.8"
"rgl","1.3.36"
"Rglpk","0.6-5.1"
"rhandsontable","0.3.8"
"rio","1.3.0"
"riskRegression","2026.03.11"
"rjags","4-17"
"rjson","0.2.23"
"rlang","1.3.0"
"rlemon","0.2.1"
"rlist","0.4.6.2"
"rmapshaper","0.6.1"
"rmarkdown","2.31"
"Rmpfr","1.1-2"
"rms","8.1-1"
"rmutil","1.1.10"
"rncl","0.8.9"
"RNeXML","2.4.11"
"rngtools","1.5.2"
"rngWELL","0.10-10"
"RobStatTM","1.0.11"
"robumeta","2.1"
"robustbase","0.99-7"
"robvis","0.3.1"
"rockchalk","1.8.164"
"ROCR","1.0-12"
"RODBC","1.3-26.1"
"ROI","1.0-2"
"rootSolve","1.8.2.4"
"ROSE","0.0-4"
"roxygen2","8.0.0"
"rpanel","1.1-6.3"
"rpart","4.1.27"
"RPEGLMEN","1.1.4"
"RPEIF","1.2.5"
"rpf","1.0.15"
"rprojroot","2.1.1"
"rrcov","1.7-7"
"rsample","1.3.2"
"rsconnect","1.10.1"
"rsm","2.10.6"
"Rsolnp","2.0.1"
"rsparse","0.5.3"
"RSpectra","0.16-2"
"rstan","2.32.7"
"rstanarm","2.32.2"
"rstantools","2.7.0"
"rstatix","1.1.0"
"rsthemes","0.5.1"
"rstpm2","1.7.1"
"rstudioapi","0.19.0"
"rtf","0.4-15"
"Rtsne","0.17"
"Rttf2pt1","1.3.14"
"rugarch","1.5-6"
"RUnit","0.4.33.1"
"runjags","2.2.2-5"
"RVAideMemoire","0.9-83-12"
"rversions","3.0.0"
"rvest","1.0.5"
"rvg","0.4.2"
"s2","1.1.11"
"S7","0.2.2"
"sampleSelection","1.2-14"
"sandwich","3.1-2"
"sass","0.4.10"
"scales","1.4.0"
"scalreg","1.0.1"
"scatterplot3d","0.3-45"
"scoringRules","1.1.3"
"secretbase","1.3.0"
"see","0.14.1"
"segmented","2.2-1"
"selectr","0.6-0"
"sem","3.1-16"
"semoutput","1.0.2"
