Player,Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,Minute,Score,Goalkeeper,Assist,Notes,Opp_clean,Squad_clean,Venue_match,Result,Minutes,Gls,Opponent_Elo,Elo_Source,Competition_Stage,Is_Away,Difficulty_Score,xg,xg_source,goal_id,Weighted_Goal
Lionel Messi,547,2014-02-09,La Liga,Matchweek 23,Away,Barcelona,Sevilla,Y,43,1-1,Beto,,,Sevilla,Barcelona,Away,W 4–1,90,2,1755.68249512,club,Group,TRUE,-1.1014988462772983,NA,missing,Lionel_Messi-1192,-1.1014988462772983
Lionel Messi,546,2014-02-09,La Liga,Matchweek 23,Away,Barcelona,Sevilla,Y,55,2-1,Beto,,,Sevilla,Barcelona,Away,W 4–1,90,2,1755.68249512,club,Group,TRUE,-1.1014988462772983,NA,missing,Lionel_Messi-1193,-1.1014988462772983
Lionel Messi,545,2014-02-15,La Liga,Matchweek 24,Home,Barcelona,Rayo Vallecano,Y,35,1-0,Rubén,,,Rayo Vallecano,Barcelona,Home,W 6–0,72,2,1623.58789062,club,Group,FALSE,0.786171709229254,NA,missing,Lionel_Messi-1194,0.786171709229254
Lionel Messi,544,2014-02-15,La Liga,Matchweek 24,Home,Barcelona,Rayo Vallecano,Y,67,4-0,Rubén,,,Rayo Vallecano,Barcelona,Home,W 6–0,72,2,1623.58789062,club,Group,FALSE,0.786171709229254,NA,missing,Lionel_Messi-1195,0.786171709229254
Lionel Messi,543,2014-02-18,Champions Lg,Round of 16,Away,Barcelona,Manchester City,Y,54,0-0,Joe Hart,,Penalty kick,Manchester City,Barcelona,Away,W 2–0,90,1,1812.7101919840484,league_avg,Knockout,TRUE,-0.9068011285816568,NA,missing,Lionel_Messi-1196,-0.9068011285816568
Lionel Messi,542,2014-02-22,La Liga,Matchweek 25,Away,Barcelona,Real Sociedad,Y,35,0-1,Claudio Bravo,,,Real Sociedad,Barcelona,Away,L 1–3,90,1,1791.1237793,club,Group,TRUE,-1.0868739091772293,NA,missing,Lionel_Messi-1197,-1.0868739091772293
Lionel Messi,541,2014-03-02,La Liga,Matchweek 26,Home,Barcelona,Almería,Y,23,1-0,Esteban,,,Almería,Barcelona,Home,W 4–1,90,1,1668.37036133,club,Group,FALSE,0.8046513109838945,NA,missing,Lionel_Messi-1198,0.8046513109838945
Lionel Messi,540,2014-03-12,Champions Lg,Round of 16,Home,Barcelona,Manchester City,Y,67,0-0,Joe Hart,,,Manchester City,Barcelona,Home,W 2–1,90,1,1812.7101919840484,league_avg,Knockout,FALSE,1.0353786053242837,NA,missing,Lionel_Messi-1199,1.0353786053242837
Lionel Messi,539,2014-03-16,La Liga,Matchweek 28,Home,Barcelona,Osasuna,Y,17,0-0,Andrés Fernández,,,Osasuna,Barcelona,Home,W 7–0,90,3,1678.04138184,club,Group,FALSE,0.8086420824789087,NA,missing,Lionel_Messi-1200,0.8086420824789087
Lionel Messi,538,2014-03-16,La Liga,Matchweek 28,Home,Barcelona,Osasuna,Y,62,3-0,Andrés Fernández,,,Osasuna,Barcelona,Home,W 7–0,90,3,1678.04138184,club,Group,FALSE,0.8086420824789087,NA,missing,Lionel_Messi-1201,0.8086420824789087
Lionel Messi,537,2014-03-16,La Liga,Matchweek 28,Home,Barcelona,Osasuna,Y,87,5-0,Andrés Fernández,,,Osasuna,Barcelona,Home,W 7–0,90,3,1678.04138184,club,Group,FALSE,0.8086420824789087,NA,missing,Lionel_Messi-1202,0.8086420824789087
Lionel Messi,536,2014-03-23,La Liga,Matchweek 29,Away,Barcelona,Real Madrid,Y,42,1-2,Diego López,,,Real Madrid,Barcelona,Away,W 4–3,90,3,2062.67529297,club,Group,TRUE,-0.9748174784146698,NA,missing,Lionel_Messi-1203,-0.9748174784146698
Lionel Messi,535,2014-03-23,La Liga,Matchweek 29,Away,Barcelona,Real Madrid,Y,64,2-3,Diego López,,Penalty kick,Real Madrid,Barcelona,Away,W 4–3,90,3,2062.67529297,club,Group,TRUE,-0.9748174784146698,NA,missing,Lionel_Messi-1204,-0.9748174784146698
Lionel Messi,534,2014-03-23,La Liga,Matchweek 29,Away,Barcelona,Real Madrid,Y,84,3-3,Diego López,,Penalty kick,Real Madrid,Barcelona,Away,W 4–3,90,3,2062.67529297,club,Group,TRUE,-0.9748174784146698,NA,missing,Lionel_Messi-1205,-0.9748174784146698
Lionel Messi,533,2014-03-26,La Liga,Matchweek 30,Home,Barcelona,Celta Vigo,Y,44,1-0,Yoel,,,Celta Vigo,Barcelona,Home,W 3–0,90,1,1679.36352539,club,Group,FALSE,0.8091876684164216,NA,missing,Lionel_Messi-1206,0.8091876684164216
Lionel Messi,532,2014-03-29,La Liga,Matchweek 31,Away,Barcelona,Espanyol,Y,77,0-0,Kiko Casilla,,Penalty kick,Espanyol,Barcelona,Away,W 1–0,90,1,1721.25134277,club,Group,TRUE,-1.1157069498788557,NA,missing,Lionel_Messi-1207,-1.1157069498788557
Lionel Messi,531,2014-04-05,La Liga,Matchweek 32,Home,Barcelona,Real Betis,Y,14,0-0,Antonio Adán,,Penalty kick,Real Betis,Barcelona,Home,W 3–1,90,2,1667.96704102,club,Group,FALSE,0.8044848798203122,NA,missing,Lionel_Messi-1208,0.8044848798203122
Lionel Messi,530,2014-04-05,La Liga,Matchweek 32,Home,Barcelona,Real Betis,Y,85,2-1,Antonio Adán,,,Real Betis,Barcelona,Home,W 3–1,90,2,1667.96704102,club,Group,FALSE,0.8044848798203122,NA,missing,Lionel_Messi-1209,0.8044848798203122
Lionel Messi,529,2014-04-20,La Liga,Matchweek 34,Home,Barcelona,Athletic Club,Y,74,1-1,Gorka Iraizoz,,,Athletic Club,Barcelona,Home,W 2–1,90,1,1815.71289062,club,Group,FALSE,0.8654525847776753,NA,missing,Lionel_Messi-1210,0.8654525847776753
Lionel Messi,528,2014-04-27,La Liga,Matchweek 35,Away,Barcelona,Villarreal,Y,82,2-2,Sergio Asenjo,,,Villarreal,Barcelona,Away,W 3–2,90,1,1750.70483398,club,Group,TRUE,-1.103552890953226,NA,missing,Lionel_Messi-1211,-1.103552890953226
Lionel Messi,527,2014-05-03,La Liga,Matchweek 36,Home,Barcelona,Getafe,Y,22,0-0,Júlio César,,,Getafe,Barcelona,Home,D 2–2,90,1,1686.30310059,club,Group,FALSE,0.8120513019768127,NA,missing,Lionel_Messi-1212,0.8120513019768127
Lionel Messi,526,2014-06-15,World Cup,Group stage,Neutral,Argentina,Bosnia–Herz,Y,65,1-0,Asmir Begović,Gonzalo Higuaín,,Bosnia–Herz,Argentina,Neutral,W 2–1,90,1,1773,national,Group,FALSE,1.023966957928354,NA,missing,Lionel_Messi-1213,1.023966957928354
Lionel Messi,525,2014-06-21,World Cup,Group stage,Neutral,Argentina,IR Iran,Y,90+1,0-0,Alireza Haghighi,,,IR Iran,Argentina,Neutral,W 1–0,90,1,1708,national,Group,FALSE,0.9971445406966173,NA,missing,Lionel_Messi-1214,0.9971445406966173
Lionel Messi,524,2014-06-25,World Cup,Group stage,Neutral,Argentina,Nigeria,Y,3,0-0,Vincent Enyeama,,,Nigeria,Argentina,Neutral,W 3–2,62,2,1750,national,Group,FALSE,1.0144759487540471,NA,missing,Lionel_Messi-1215,1.0144759487540471
